部门,表中文名,表英文名,部门到前置机状态,异常原因说明,前置机到前置仓状态,异常原因说明,前置仓到贴源层状态,异常原因说明,,部门,表中文名,（前置仓）表英文名,部门到前置机对账状态,异常原因说明,前置仓数据量核对（数据表和对账表是否一致）【暂无更新、不具备采集条件、正常、异常、无法匹配】,异常原因说明,前置仓到贴源层调度状态,异常原因说明
交通运输厅,营运车辆基本信息,jtyst_t_ygj_sd_public_c1_car_baseinfo,异常,对账表数据与表数据不一致,未推送,,未推送,,,交通运输厅,巡游出租车服务质量监督卡,jtyst_t_ygj_sd_public_p1_taxidriverregister,未推送,,未推送,,未推送,
交通运输厅,营运车辆技术等级评定信息,jtyst_t_ygj_sd_public_c1_car_jsdjpdxx,异常,对账表数据与表数据不一致,未推送,,未推送,,,交通运输厅,重点监控道路运输从业人员名单,jtyst_t_ygj_sd_dctoaf_p1_common_monitor,未推送,,未推送,,未推送,
交通运输厅,行政处罚行为信息表,jtyst_jg_jgxw_punish_action,正常,已经到前置机，未对账,未推送,,未推送,,,交通运输厅,道路运输证信息,jtyst_t_ygj_sd_public_c1_car_transcertificate,未推送,,未推送,,未推送,
交通运输厅,行政强制行为信息,jtyst_jg_jgxw_force_action,正常,已经到前置机，未对账,未推送,,未推送,,,交通运输厅,道路运输经营许可证信息,jtyst_t_ygj_sd_public_o1_dlysxkzxx,未推送,,未推送,,未推送,
交通运输厅,行政检查行为信息,jtyst_jg_jgxw_check_action,正常,已经到前置机，未对账,未推送,,未推送,,,交通运输厅,船舶所有权登记_船舶所有权登记信息,jtyst_t_hwj_cb_ownership_reg,未推送,,未推送,,未推送,
交通运输厅,行政许可信息主表,jtyst_xzxkxxzb_new,异常,对账表数据与表数据不一致,未推送,,未推送,,,交通运输厅,四川船舶信息,jtyst_t_hwj_c_cb_ship,未推送,,未推送,,未推送,
交通运输厅,证照数据表,jtyst_t_42_certificate_data,异常,对账表数据与表数据不一致,未推送,,未推送,,,交通运输厅,投资人年评结果,jtyst_bl_investor_npjg,未推送,,未推送,,未推送,
交通运输厅,货运站点位信息,jtyst_t_ygj_sd_dctodsj_o1_gis_hy,正常,存量表，不再更新,未推送,,未推送,,,交通运输厅,包车客运旅游线路,jtyst_t_42_tourism_line_info,未推送,,未推送,,未推送,
交通运输厅,质疑投诉信息表,jtyst_t_dzzb_tbl_ztb_report,正常,存量表，不再更新,未推送,,未推送,,,交通运输厅,超限运输证,jtyst_t_42_cxys_provice_license,未推送,,未推送,,未推送,
交通运输厅,超限运输业务主表,jtyst_t_42_cxys_car_s,异常,对账表数据与表数据不一致,未推送,,未推送,,,交通运输厅,维修业户经营备案证书表,jtyst_t_42_ent_maintenance_license,未推送,,未推送,,未推送,
交通运输厅,超限运输证,jtyst_t_42_cxys_provice_license,异常,对账表数据与表数据不一致,未推送,,未推送,,,交通运输厅,信息化市场企业年评结果,jtyst_xyxt_bl_tech_npjg,未推送,,未推送,,未推送,
交通运输厅,道路客运班线经营行政许可决定书,t_42_line_license,正常,已经到前置机，未对账,未推送,,未推送,,,交通运输厅,公路养护作业单位许可资质信息,jtyst_t_42_road_business_scope,未推送,,未推送,,未推送,
交通运输厅,道路运输事故信息,jtyst_t_ygj_sd_public_s1_accidentinfo,正常,存量表，不再更新,未推送,,未推送,,,交通运输厅,维修业户经营备案基础信息表,jtyst_t_42_ent_maintenance,未推送,,未推送,,未推送,
交通运输厅,道路运输从业人员禁止进入道路运输应用市场名单,jtyst_t_ygj_sd_dctoaf_p1_common_black,正常,已经到前置机，未对账,未推送,,未推送,,,交通运输厅,线路牌管理表,jtyst_t_42_passengerlinecard,未推送,,未推送,,未推送,
交通运输厅,道路运输年评结果,bl_dlys_npjg,正常,已经到前置机，未对账,未推送,,未推送,,,交通运输厅,经营业户基本信息,jtyst_t_ygj_sd_public_o1_ownerinfo,未推送,,未推送,,未推送,
交通运输厅,道路运输经营许可证信息,jtyst_t_ygj_sd_public_o1_dlysxkzxx,异常,对账表数据与表数据不一致,未推送,,未推送,,,交通运输厅,公路水运工程从业人员个人信息,jtyst_xyxt_jssc_cyrygrxx,未推送,,未推送,,未推送,
交通运输厅,道路运输经营许可证换证信息,jtyst_t_ygj_sd_public_o1_dlysjyxkz_hzxx,正常,已经到前置机，未对账,未推送,,未推送,,,交通运输厅,案件基本信息表,jtyst_case_basicinfo,未推送,,未推送,,未推送,
交通运输厅,道路运输证信息,jtyst_t_ygj_sd_public_c1_car_transcertificate,异常,对账表数据与表数据不一致,未推送,,未推送,,,交通运输厅,港口危险货物作业附证,jtyst_t_42_danger_cargo_license,未推送,,未推送,,未推送,
交通运输厅,重点监控道路运输从业人员名单,jtyst_t_ygj_sd_dctoaf_p1_common_monitor,正常,,异常,,未推送,,,交通运输厅,业户档案管理表,jtyst_t_42_enterprise,未推送,,未推送,,未推送,
交通运输厅,（临时）船舶国籍证书签发_船舶国籍证书签发信息,jtyst_t_hwj_cb_national_iss_info,正常,已经到前置机，未对账,未推送,,未推送,,,交通运输厅,审批申请人信息,jtyst_t_42_applicantinfo,未推送,,未推送,,未推送,
住房城乡建设厅,专家基本信息归档表,p_zj_zjuserinfo,异常,对账表数据与表数据不一致,正常,,正常,,,交通运输厅,水上水下活动许可证,jtyst_t_42_water_activity_license,未推送,,未推送,,未推送,
住房城乡建设厅,专家申请基本信息表,p_zj_applyuserinfo,异常,对账表数据与表数据不一致,正常,,正常,,,交通运输厅,公路养护作业单位基本信息,jtyst_t_42_road_maintenance_ent,未推送,,未推送,,未推送,
住房城乡建设厅,专家证书表,p_zj_cert,正常,,正常,,异常,,,交通运输厅,包车客运经营信息备案证书,jtyst_t_42_tourism_line_card_license,未推送,,未推送,,未推送,
住房城乡建设厅,中标结果信息,xm_zbjgxx,异常,对账表数据与表数据不一致,正常,,正常,,,交通运输厅,定制客运电子商务平台信息,jtyst_t_42_e_commerce_platform_info,未推送,,未推送,,未推送,
住房城乡建设厅,主要机械设备信息,qy_zyjqsb,正常,,正常,,异常,,,交通运输厅,营运车辆技术等级评定信息,jtyst_t_ygj_sd_public_c1_car_jsdjpdxx,未推送,,未推送,,未推送,
住房城乡建设厅,二级建筑师、结构工程师业务申请表,cf_person_applist,异常,对账表数据与表数据不一致,正常,,正常,,,交通运输厅,企业评价结果信息,jtyst_xyxt_jssc_pjjgcxb_new,未推送,,未推送,,未推送,
住房城乡建设厅,二级造价业务申请表,cf_ejzjs_appinfo,异常,对账表数据与表数据不一致,正常,,正常,,,交通运输厅,网络预约出租汽车专项信息,jtyst_t_ygj_sd_public_c1_car_netcar,未推送,,未推送,,未推送,
住房城乡建设厅,产权备案起重设备表,cf_equip_sb,异常,对账表数据与表数据不一致,正常,,正常,,,交通运输厅,船舶生产企业资质证书,jtyst_t_42_company_create_license,未推送,,未推送,,未推送,
住房城乡建设厅,人员不良行为信息表,cf_emp_badaction,异常,对账表数据与表数据不一致,正常,,正常,,,交通运输厅,船员发证信息_内河培训合格证,jtyst_t_hwj_cy_inland_train_quli,未推送,,未推送,,未推送,
住房城乡建设厅,人员证书信息表,tpersoncaprint,异常,对账表数据与表数据不一致,正常,,正常,,,交通运输厅,公路建设市场企业基本信息,jtyst_xyxt_jssc_qyjcxx,未推送,,未推送,,未推送,
住房城乡建设厅,企业不良行为情况,cf_ent_badaction,正常,,正常,,异常,,,交通运输厅,超限运输业务主表,jtyst_t_42_cxys_car_s,未推送,,未推送,,未推送,
住房城乡建设厅,企业出资人、股东信息,qy_qyczrgdxx,异常,对账表数据与表数据不一致,正常,,正常,,,交通运输厅,船员基础信息_船员基础信息,jtyst_t_hwj_cy_crew_basic,未推送,,未推送,,未推送,
住房城乡建设厅,企业注册成功,t_enterprise_succeed,异常,对账表数据与表数据不一致,异常,前置仓数据量核对,未推送,,,交通运输厅,公路养护作业单位资质证书,jtyst_t_42_road_maintenance_license,未推送,,未推送,,未推送,
住房城乡建设厅,企业证书信息,qy_qyzsxx,正常,,正常,,异常,,,交通运输厅,国内船舶管理业务经营许可证,jtyst_t_42_manage_company_license,未推送,,未推送,,未推送,
住房城乡建设厅,保障家庭对象清单,saj_hsip_family,正常,,异常,,未推送,,,教育厅,本专科国家助学金资助名单信息表,bzk_aid_sub_list,正常,已经到前置机，未对账,正常,,异常,
住房城乡建设厅,保障家庭对象清单,saj_hsip_gua_family,正常,,正常,,异常,,,教育厅,中职学生基本信息,zz_zxs_jbxx,正常,已经到前置机，未对账,正常,,异常,
住房城乡建设厅,保障家庭对象申请信息,saj_hsip_apply_record,正常,,正常,,异常,,,教育厅,学生毕业后跨省就学信息表,zxxs_kszs_jbxx,正常,已经到前置机，未对账,正常,,正常,
住房城乡建设厅,保障对象家庭实施,saj_hsip_gua_family_implement,正常,,正常,,异常,,,教育厅,教师定期注册信息表,tb_biz_jsdqzcxx,未推送,,未推送,,未推送,
住房城乡建设厅,保障对象家庭成员,saj_hsip_family_members,正常,,异常,前置仓数据量核对,未推送,,,教育厅,幼儿家庭成员信息_省外,xq_ye_jtcyxx_sw,未推送,,未推送,,未推送,
住房城乡建设厅,保障对象家庭成员,saj_hsip_gua_family_members,正常,,正常,,异常,,,教育厅,研究生学业奖学金资助名单信息表,yjs_xyjxj_sub_list,正常,已经到前置机，未对账,正常,,正常,
住房城乡建设厅,保障对象家庭资格,saj_hsip_family_qua,正常,,异常,前置仓数据量核对,未推送,,,教育厅,学校(机构)代码表,tb_mst_xxjgdm,正常,已经到前置机，未对账,正常,,正常,
住房城乡建设厅,保障对象家庭资格,saj_hsip_gua_family_qua,正常,,正常,,异常,,,教育厅,区域表,areas,正常,已经到前置机，未对账,异常,,未推送,
住房城乡建设厅,保障配后/家庭成员,saj_hsip_matching_personnel,异常,对账表数据与表数据不一致,异常,前置仓数据量核对,未推送,,,教育厅,学生资格证书信息历史表,zz_zxs_zgzsxxls,正常,已经到前置机，未对账,异常,,未推送,
住房城乡建设厅,保障配租合同单位信息副本表,saj_hsip_publicity_unit,异常,对账表数据与表数据不一致,异常,前置仓数据量核对,未推送,,,教育厅,中小学学校年级信息,zxxs_xx_njxx,正常,已经到前置机，未对账,正常,,异常,
住房城乡建设厅,保障配租合同单位信息副本表,saj_hsip_rent_cont_unit,正常,,异常,前置仓数据量核对,未推送,,,教育厅,本专科高校学籍信息,bzk_xs_jbxx,正常,已经到前置机，未对账,正常,,正常,
住房城乡建设厅,保障配给单位信息副本表,saj_hsip_ration_unit,异常,对账表数据与表数据不一致,异常,前置仓数据量核对,未推送,,,教育厅,幼儿基本信息表,xq_ye_jbxx,未推送,,未推送,,未推送,
住房城乡建设厅,入川企业登记证信息,qy_qyrcdjxx,正常,,正常,,异常,,,教育厅,教师资格信息表,tb_biz_jszgxx,未推送,,未推送,,未推送,
住房城乡建设厅,公示信息,saj_hsip_publicity,正常,,正常,,异常,,,教育厅,学生信息4（生源地助学贷款学生信息）,t_syd_xyzxdk_xsmx,正常,已经到前置机，未对账,正常,,正常,
住房城乡建设厅,公示申请记录,saj_hsip_publicity_apply,正常,,正常,,异常,,,教育厅,中小学学校班级信息,zxxs_xx_bjxx,正常,已经到前置机，未对账,正常,,异常,
住房城乡建设厅,农房基础信息_新版,saj_rhm_house_new_info,异常,对账表数据与表数据不一致,异常,前置仓数据量核对,未推送,,,教育厅,中小学毕业生表,zxxs_xs_xsby,正常,已经到前置机，未对账,正常,,正常,
住房城乡建设厅,协议市场租赁合同信息,saj_hsip_subsidy_rent_info,异常,对账表数据与表数据不一致,异常,前置仓数据量核对,未推送,,,教育厅,幼儿家庭成员信息,xq_ye_jtcyxx,未推送,,未推送,,未推送,
住房城乡建设厅,单位信息,saj_hsip_unit,正常,,正常,,异常,,,教育厅,在校生,t_yjs_zsxx,正常,已经到前置机，未对账,正常,,正常,
住房城乡建设厅,参建单位信息,projectcorpinfo,正常,,正常,,异常,,,教育厅,中职在校困难学生信息,zz_difficulty_stu,正常,已经到前置机，未对账,正常,,正常,
住房城乡建设厅,四川省建设工程安全监督备案证,gg_zz_surfacedata_ajba,异常,对账表数据与表数据不一致,正常,,正常,,,教育厅,本专科国家励志奖学金资助名单信息表,bzk_lzjxj_sub_list,正常,已经到前置机，未对账,异常,,未推送,
住房城乡建设厅,四川省建设工程竣工验收备案证,gg_zz_surfacedata_jgysba,异常,对账表数据与表数据不一致,正常,,正常,,,教育厅,供应商表,u_supply,未推送,,未推送,,未推送,
住房城乡建设厅,四川省建设工程质量监督备案证,gg_zz_surfacedata_zljdba,异常,对账表数据与表数据不一致,正常,,正常,,,教育厅,中职助学金类名单,zz_aid_sub_list,正常,已经到前置机，未对账,异常,,未推送,
住房城乡建设厅,垃圾处理基本信息,ljcl_baseinfo,异常,对账表数据与表数据不一致,异常,前置仓数据量核对,未推送,,,教育厅,研究生高校,t_yjs_zjzxqxb,正常,已经到前置机，未对账,正常,,正常,
住房城乡建设厅,安全监督备案(市政),gc_szaqjdba,正常,,正常,,异常,,,教育厅,高校信息（推送高校信息）,t_message_ppgx,正常,已经到前置机，未对账,正常,,正常,
住房城乡建设厅,建筑工人信息,projectworkerinfo,正常,,正常,,正常,,,教育厅,专家,t_lecturer,正常,已经到前置机，未对账,正常,,正常,
住房城乡建设厅,建筑工人进出场信息,projectworkerinoutinfo,异常,对账表数据与表数据不一致,正常,,正常,,,教育厅,幼儿基本信息表_省外,xq_ye_jbxx_sw,未推送,,未推送,,未推送,
住房城乡建设厅,建设各方责任主体信息,gc_jszrztxx,异常,对账表数据与表数据不一致,正常,,正常,,,教育厅,教师证书表,u_teacertificate,正常,已经到前置机，未对账,异常,,未推送,
住房城乡建设厅,建造师业务申请表,cf_construct_appdetial,异常,对账表数据与表数据不一致,正常,,正常,,,教育厅,学前在校困难学生信息,xq_difficulty_stu,正常,已经到前置机，未对账,异常,,未推送,
住房城乡建设厅,房地产开发企业信用行为表,dbkf_cf_cp_action,正常,,异常,前置仓数据量核对,未推送,,,教育厅,励志奖学金获奖信息,t_gx_lzjxj_zxsq_hjxx,正常,已经到前置机，未对账,正常,,正常,
住房城乡建设厅,房地产开发企业基本信息,dbkf_cf_ent_baseinfo,异常,对账表数据与表数据不一致,异常,前置仓数据量核对,未推送,,,教育厅,家庭信息,t_jsjtxx,正常,已经到前置机，未对账,正常,,正常,
住房城乡建设厅,房地产开发企业基础信用信息表,dbkf_cf_cp_baseinfo,异常,对账表数据与表数据不一致,异常,前置仓数据量核对,未推送,,,教育厅,本专科国家奖学金资助名单信息表,bzk_jxj_sub_list,正常,已经到前置机，未对账,正常,,正常,
住房城乡建设厅,房源管理：房源入库、移交、退出业务表,saj_hsip_house_record,正常,,正常,,异常,,,教育厅,中小学学校校区信息,zxxs_xx_xqxx,正常,已经到前置机，未对账,正常,,异常,
住房城乡建设厅,招标从业人员信息,cf_zb_personcertinfo,异常,对账表数据与表数据不一致,正常,,异常,,,教育厅,中小学数据字段类型表,sys_enum_type,正常,已经到前置机，未对账,正常,,正常,
住房城乡建设厅,施工许可证信息,gc_sgxkz,异常,对账表数据与表数据不一致,正常,,正常,,,教育厅,失辍学主表,tb_allstus,正常,已经到前置机，未对账,正常,,正常,
住房城乡建设厅,施工许可证信息,projectbuilderlicense,正常,,异常,前置仓数据量核对,未推送,,,教育厅,毕业生信息综合查询,zz_bys_zhcx,正常,已经到前置机，未对账,异常,,未推送,
住房城乡建设厅,施工许可证参建人员,gc_sgxkz_emp,异常,对账表数据与表数据不一致,正常,,正常,,,教育厅,教职工基本信息表,tb_biz_jzgjbxx,正常,已经到前置机，未对账,正常,,异常,
住房城乡建设厅,施工许可证参建单位,gc_sgxkz_ent,异常,对账表数据与表数据不一致,正常,,正常,,,教育厅,研究生信息,t_message_yjs,正常,已经到前置机，未对账,正常,,正常,
住房城乡建设厅,机构人员信息表,zljc_personinfo,正常,,异常,前置仓数据量核对,未推送,,,教育厅,社保信息,tb_sbxx_cache,正常,已经到前置机，未对账,正常,,正常,
住房城乡建设厅,机构信息表,zljc_organinfo,正常,,异常,前置仓数据量核对,未推送,,,教育厅,证书,t_certificatetheme,正常,已经到前置机，未对账,正常,,正常,
住房城乡建设厅,污水处理基本信息,wscl_baseinfo,异常,对账表数据与表数据不一致,异常,前置仓数据量核对,未推送,,,教育厅,助学贷款高校信息,t_syd_xyzxdk_qggxxx,正常,已经到前置机，未对账,正常,,正常,
住房城乡建设厅,污水运营_管网建设信息,wsyy_gwjsinfo,正常,,异常,前置仓数据量核对,未推送,,,教育厅,教师首次注册信息表,tb_biz_jssczcxx,未推送,,未推送,,未推送,
住房城乡建设厅,消防审验项目信息,py_xfjg_mainproject,正常,,异常,前置仓数据量核对,未推送,,,教育厅,义务教育在校困难学生信息,ywjy_difficulty_stu,正常,已经到前置机，未对账,正常,,异常,
住房城乡建设厅,物业服务企业人员档案,dbwy_da_emp,异常,对账表数据与表数据不一致,正常,,正常,,,教育厅,中小学生基本信息,zxxs_xs_jbxx,正常,已经到前置机，未对账,正常,,正常,
住房城乡建设厅,物业服务企业信用行为表,dbwy_cf_cp_action,正常,,正常,,异常,,,教育厅,证书记录,t_certificaterecord,正常,已经到前置机，未对账,正常,,正常,
住房城乡建设厅,物业服务企业基础信息,dbwy_da_ent_baseinfo,异常,对账表数据与表数据不一致,正常,,正常,,,教育厅,机构基本信息表,xq_jg_jbxx,未推送,,未推送,,未推送,
住房城乡建设厅,物业服务企业纳税备案档案表,dbwy_da_nsbab,异常,对账表数据与表数据不一致,正常,,正常,,,教育厅,居住证地址,tb_gat_jzz_cache,正常,已经到前置机，未对账,正常,,正常,
住房城乡建设厅,申报家庭房产信息,saj_hsip_apply_family_house,正常,,正常,,异常,,,教育厅,研究生国家奖学金资助名单信息表,yjs_jxj_sub_list,正常,已经到前置机，未对账,正常,,正常,
住房城乡建设厅,申报家庭资产信息,saj_hsip_apply_family_assets,正常,,正常,,异常,,,教育厅,区域学生表,area_student,正常,已经到前置机，未对账,正常,,正常,
住房城乡建设厅,申请家庭成员,saj_hsip_apply_members,正常,,正常,,异常,,,教育厅,机构班级信息表,xq_jg_bjxx,正常,已经到前置机，未对账,正常,,正常,
住房城乡建设厅,租赁信息,saj_hsip_rent_info,正常,,正常,,异常,,,教育厅,学籍信息,sc_xjxx,正常,已经到前置机，未对账,正常,,正常,
住房城乡建设厅,租赁合同,saj_hsip_rent_contract,正常,,正常,,异常,,,教育厅,学生信息3（在校生学生信息）,t_student_account_gx,正常,已经到前置机，未对账,正常,,正常,
住房城乡建设厅,租赁合同主体,tab_zlht_zt,异常,对账表数据与表数据不一致,正常,,正常,,,教育厅,学生学籍档案信息表,zxxs_xs_daxx,正常,已经到前置机，未对账,异常,,未推送,
住房城乡建设厅,租赁合同主体信息,saj_hsip_rent_contract_ent,正常,,正常,,正常,,,教育厅,学生信息2（建档立卡学生信息）,t_jdlk_xsxx_qg,正常,已经到前置机，未对账,正常,,正常,
住房城乡建设厅,租赁合同主表,tab_zlht,正常,,正常,,异常,,,教育厅,入学信息,t_gx_xsrxwbd,正常,已经到前置机，未对账,正常,,正常,
住房城乡建设厅,租赁合同内容信息,saj_hsip_rent_cont_content,正常,,正常,,异常,,,教育厅,学生家庭成员表,zxxs_xs_jtcy,正常,已经到前置机，未对账,正常,,正常,
住房城乡建设厅,租赁合同成员表,saj_hsip_rent_cont_ent_members,正常,,正常,,正常,,,教育厅,区域教师表,area_teacher,正常,已经到前置机，未对账,正常,,正常,
住房城乡建设厅,租赁合同房屋信息,saj_hsip_rent_contract_house,正常,,正常,,异常,,,教育厅,学校学生信息表,org_school_student,正常,已经到前置机，未对账,异常,,未推送,
住房城乡建设厅,租赁合同房源关联信息,saj_hsip_rent_contract_house_rel,正常,,正常,,异常,,,教育厅,研究生国家助学金资助名单信息表,yjs_aid_sub_list,正常,已经到前置机，未对账,异常,,未推送,
住房城乡建设厅,租赁补充协议表,saj_hsip_rent_cont_replenish,正常,,异常,前置仓数据量核对,未推送,,,教育厅,中小学学校基本信息表,zxxs_xx_jbxx,正常,已经到前置机，未对账,正常,,异常,
住房城乡建设厅,竣工备案信息(市政),xm_jgbaxx_sz,正常,,正常,,异常,,,教育厅,研究生奖学金,t_yjs_jxjhz,正常,已经到前置机，未对账,正常,,正常,
住房城乡建设厅,竣工备案信息(房建),xm_jgbaxx,正常,,正常,,正常,,,教育厅,供货商,supplier,正常,已经到前置机，未对账,正常,,正常,
住房城乡建设厅,行政处罚公示信息,txzcf_pub,异常,对账表数据与表数据不一致,正常,,正常,,,教育厅,高校表,pt_school_gx,未推送,,未推送,,未推送,
住房城乡建设厅,补贴划拨,saj_hsip_subsidy_transfer,正常,,正常,,异常,,,教育厅,教育局表,pt_bureau,未推送,,未推送,,未推送,
住房城乡建设厅,补贴协议,saj_hsip_subsidy,正常,,正常,,正常,,,教育厅,高校（本专科高校）,t_cd,正常,已经到前置机，未对账,正常,,正常,
住房城乡建设厅,补贴协议主体信息,saj_hsip_subsidy_ent,正常,,正常,,异常,,,教育厅,教师表,u_teacher,正常,已经到前置机，未对账,正常,,正常,
住房城乡建设厅,补贴协议家庭成员表,saj_hsip_subsidy_members,正常,,正常,,异常,,,教育厅,研究生高校学籍信息,yjs_xs_jbxx,正常,已经到前置机，未对账,正常,,正常,
住房城乡建设厅,补贴发放,saj_hsip_subsidy_grant,正常,,正常,,异常,,,教育厅,普高在校困难学生信息,pg_difficulty_stu,正常,已经到前置机，未对账,正常,,正常,
住房城乡建设厅,质量监督人员证书业务表,cf_zljd_certapply,异常,对账表数据与表数据不一致,正常,,正常,,,教育厅,工作人员基本信息表,mpw_staff_track,正常,已经到前置机，未对账,正常,,正常,
住房城乡建设厅,质量监督人员证书归档表,cf_zljd_cert,异常,对账表数据与表数据不一致,正常,,正常,,,教育厅,学生入信息,t_gx_xsrxbd,正常,已经到前置机，未对账,正常,,正常,
住房城乡建设厅,质量监督备案(市政),gc_szzljdba,正常,,正常,,异常,,,教育厅,参考机构,ks_ckjg,正常,已经到前置机，未对账,正常,,正常,
住房城乡建设厅,质量监督备案(房建),gc_fjzljdba,正常,,正常,,正常,,,教育厅,职员表,pt_employee,正常,已经到前置机，未对账,正常,,异常,
住房城乡建设厅,配后房屋副本表,saj_hsip_after_match_house,异常,对账表数据与表数据不一致,异常,前置仓数据量核对,未推送,,,教育厅,本专科在校困难学生信息,bzk_difficulty_stu,正常,已经到前置机，未对账,异常,,未推送,
住房城乡建设厅,配给家庭,saj_hsip_ration_family,正常,,正常,,异常,,,教育厅,学生信息5（基层就业学费奖补学生信息）,t_xfbc_xsmx,正常,已经到前置机，未对账,正常,,正常,
住房城乡建设厅,销售许可（包括现房销售备案）,tab_ysxk,正常,,正常,,异常,,,教育厅,单位信息,t_xfbc_jydwxx,正常,已经到前置机，未对账,正常,,正常,
住房城乡建设厅,震后房屋应急评估专家组,bis_expert_group,正常,,正常,,异常,,,教育厅,学校表,schools,正常,已经到前置机，未对账,正常,,正常,
住房城乡建设厅,项目信息,saj_hsip_project,正常,,正常,,异常,,,教育厅,研究生在校困难学生信息,yjs_difficulty_stu,正常,已经到前置机，未对账,正常,,异常,
住房城乡建设厅,项目公示,saj_hsip_pro_publicity,异常,对账表数据与表数据不一致,异常,前置仓数据量核对,未推送,,,教育厅,高校校区表,pt_campus_gx,未推送,,未推送,,未推送,
住房城乡建设厅,项目公示项目信息,saj_hsip_pro_publicity_project,异常,对账表数据与表数据不一致,异常,前置仓数据量核对,未推送,,,教育厅,高职名单,t_jdlk_xsmd_gz,正常,已经到前置机，未对账,正常,,正常,
住房城乡建设厅,项目基本信息,xm_xmjbxx,异常,对账表数据与表数据不一致,正常,,正常,,,教育厅,毕业离园幼儿基本信息表,xq_ye_bylyjbxx,未推送,,未推送,,未推送,
住房城乡建设厅,项目基础信息,t_information_base,正常,,异常,前置仓数据量核对,未推送,,,教育厅,学校老师信息表,org_school_teacher,正常,已经到前置机，未对账,正常,,异常,
公安厅,刻章备案信息,dsj_kzbaxx,正常,,正常,,正常,,,教育厅,毕业证信息,zz_bys_byzxx,正常,已经到前置机，未对账,正常,,正常,
公安厅,四川省保安公司信息,dsj_bagsxx,正常,,异常,前置仓数据量核对,未推送,,,教育厅,中职就业信息（zz_bys_jyxx）,zz_bys_jyxx,正常,已经到前置机，未对账,正常,,正常,
公安厅,四川省保安公司服务许可证信息,dsj_bagsfwxkzxx,正常,,异常,前置仓数据量核对,未推送,,,教育厅,高校学校举办者基本信息,jbz_201501,正常,已经到前置机，未对账,未推送,,未推送,
公安厅,四川省保安培训机构,dsj_bapxjg,正常,,正常,,正常,,,教育厅,机构表（cm_govcode）,cm_govcode,正常,已经到前置机，未对账,异常,,未推送,
公安厅,四川省印章制作单位信息,dsj_yzzzdwxx,正常,,正常,,正常,,,教育厅,机构表（b_org）,b_org,正常,已经到前置机，未对账,正常,,正常,
公安厅,四川省旅店基本信息,dsj_ldjbxx,正常,,正常,,异常,,,教育厅,就业信息（t_xfbc_jyxx）,t_xfbc_jyxx,正常,已经到前置机，未对账,正常,,正常,
公安厅,四川省机动车强制报废信息,dsj_jdcqzbfxx,正常,,正常,,正常,,,教育厅,国家奖学金获奖信息,t_gx_gjjxj_hjxx、t_gx_hjxx,正常,已经到前置机，未对账,未推送,,未推送,
公安厅,四川省机动车检验标志核发机构信息,dsj_jdcjybzhfjg,正常,,正常,,正常,,,教育厅,国家奖学金获奖信息,t_gx_gjjxj_hjxx、t_gx_hjxx,正常,已经到前置机，未对账,未推送,,未推送,
公安厅,四川省机动车登记服务站信息,dsj_jdcdjfwzxx,正常,,正常,,正常,,,教育厅,中职学校专业,zz_xx_zy,正常,已经到前置机，未对账,正常,,正常,
公安厅,四川省机动车逾期未检验信息,dsj_jdcyqwjy,正常,,正常,,正常,,,教育厅,中职教学点信息,zz_xx_jxdxx,正常,已经到前置机，未对账,正常,,正常,
公安厅,四川省爆破作业单位许可证（营业性）,dsj_bpzydwxkz,正常,,正常,,正常,,,教育厅,中职班级,zz_xx_bj,正常,已经到前置机，未对账,正常,,正常,
公安厅,四川省网吧基本信息,dsj_wbjbxx,正常,,正常,,正常,,,教育厅,中职学校,zz_xx_jbxx,未推送,,未推送,,未推送,
公安厅,四川省驾驶证停止使用信息,dsj_jsztzsy,正常,,正常,,正常,,,教育厅,中职校区信息,zz_xx_xqxx,正常,已经到前置机，未对账,正常,,正常,
公安厅,四川省驾驶证逾期未审验信息,dsj_jszyqwsyxx,正常,,正常,,正常,,,教育厅,中职家庭成员及监护人,zz_zxs_jtcyjjhr,正常,已经到前置机，未对账,正常,,正常,
公安厅,四川省驾驶证逾期未换证信息,dsj_jszyqwhzxx,正常,,正常,,正常,,,经济和信息化厅,企业基本信息表,dp_innovation_enterprise,未推送,,未推送,,未推送,
农业农村厅,企业主要从业人员信息表,nynct_scsnjgzyyybtsqblfwxt_factory_user,正常,,正常,,正常,,,经济和信息化厅,申报企业信息表,ec_apply_ent_info,未推送,,未推送,,未推送,
农业农村厅,企业经销商表,nynct_scsnjgzyyybtsqblfwxt_factory_agent,正常,,正常,,正常,,,经济和信息化厅,标准厂房项目,bzcfxm,未推送,,未推送,,未推送,
农业农村厅,企业荣誉信息表,nynct_scncpzlaqzspt_sg_qy_honor,正常,已经到前置机，未对账,未推送,,未推送,,,经济和信息化厅,工业领域设备更新和技术改造项目库,gylysbgxhjsgzxmk,未推送,,未推送,,未推送,
农业农村厅,企业表,nynct_scsnjgzyyybtsqblfwxt_factory,正常,,正常,,正常,,,经济和信息化厅,工业发展资金项目入库信息,gyfzzjxmrkxx,未推送,,未推送,,未推送,
农业农村厅,企业表信息变更记录表,nynct_scsnjgzyyybtsqblfwxt_factory_record,正常,,正常,,正常,,,经济和信息化厅,特殊类型地区振兴发展专项行动（欠发达地区）项目申报,tslxdqzxfzzxxd_qfddq_xmsb,未推送,,未推送,,未推送,
